screen_time,public_profile,location_sharing,two_factor_auth,password_strength,social_platforms,public_posts,app_permissions,data_breach_exposed,risk_label
6,0,1,0,6,6,175,1,1,2
6,0,0,1,3,6,154,12,1,2
10,1,0,1,9,5,180,11,1,2
4,1,1,1,2,1,87,7,1,2
6,0,0,0,9,3,72,15,0,1
13,1,0,0,5,3,162,11,1,2
2,0,1,1,8,6,178,16,1,2
10,0,0,0,2,1,36,3,0,1
12,0,0,1,6,6,118,14,0,2
2,1,0,1,3,3,56,3,1,1
10,0,0,1,10,7,7,1,0,0
14,0,1,1,5,6,94,15,1,2
4,0,1,1,8,4,116,1,1,1
14,1,1,1,10,7,109,17,0,2
8,1,0,1,1,6,19,2,1,2
14,1,0,0,5,5,123,6,1,2
7,1,1,0,3,6,52,8,0,2
12,1,0,0,4,5,118,16,0,2
9,0,0,0,2,1,11,19,0,2
14,1,0,0,9,3,176,1,0,2
8,1,0,0,3,7,16,3,1,2
5,1,1,0,2,7,63,3,0,2
13,0,1,1,10,2,41,5,0,1
2,1,1,1,9,2,93,12,0,2
5,1,0,1,7,3,156,12,0,2
8,0,1,1,6,2,146,13,0,2
10,1,1,0,1,7,10,9,1,2
9,0,0,0,5,6,97,7,0,1
12,0,0,1,3,1,177,4,1,2
12,0,1,1,1,1,70,19,0,2
12,0,1,0,4,3,107,19,0,2
13,0,1,1,2,2,57,6,0,2
9,1,1,1,2,6,33,13,0,2
13,0,0,1,3,1,19,11,0,2
13,0,1,1,8,1,49,13,0,2
1,1,1,0,8,4,101,13,0,2
9,0,0,1,7,4,137,15,0,2
7,1,1,1,6,7,159,13,1,2
9,1,0,0,9,1,51,11,0,1
8,1,0,0,4,3,14,19,1,2
1,0,0,1,1,5,83,8,0,1
12,0,1,0,8,5,130,8,1,2
8,0,1,1,7,6,36,10,0,1
8,1,0,1,7,1,125,16,0,2
11,0,1,0,3,1,39,19,0,2
3,0,1,1,4,7,71,11,1,2
1,0,0,1,10,1,39,13,1,1
8,1,0,1,9,3,55,9,1,2
3,1,1,1,6,4,150,19,1,2
3,0,0,0,5,1,103,16,0,1
1,0,1,0,3,1,138,7,0,1
11,0,1,1,9,7,109,19,0,2
5,0,1,0,5,2,191,12,1,2
10,1,1,1,5,7,135,15,0,2
7,1,0,1,4,7,92,14,1,2
10,1,0,1,4,3,93,11,1,2
9,1,0,1,1,6,55,10,1,2
12,0,0,1,7,1,59,11,1,2
7,0,1,0,9,7,137,6,1,2
9,0,1,1,3,7,38,2,0,1
8,1,0,0,2,2,27,11,1,2
12,0,1,0,3,7,48,19,1,2
2,1,1,1,1,5,163,6,0,2
1,1,1,1,6,6,124,14,1,2
7,0,0,1,7,1,12,6,1,1
7,0,0,1,2,1,35,17,0,2
14,0,0,1,8,2,100,10,0,2
8,1,1,0,6,3,25,1,0,1
5,0,0,1,4,1,85,3,1,1
3,1,0,1,5,5,3,8,0,1
12,0,0,0,8,1,81,8,0,1
8,1,0,0,3,5,191,15,0,2
6,1,0,1,3,6,165,7,1,2
11,0,0,0,4,6,126,11,0,2
3,1,1,1,1,4,87,7,1,2
1,1,1,0,9,4,126,4,1,2
3,0,0,0,8,5,119,12,0,1
5,1,0,1,8,3,21,6,1,1
14,0,1,0,10,1,129,14,1,2
3,1,1,0,6,7,30,12,0,2
1,0,0,0,7,1,118,11,1,1
5,0,0,0,6,4,10,19,0,1
10,1,0,0,9,7,45,5,1,1
7,1,0,0,3,5,95,14,1,2
14,1,1,1,3,7,189,16,0,2
7,1,0,1,3,1,196,13,0,2
11,1,0,0,10,1,191,4,1,2
9,0,0,1,3,3,9,11,1,2
10,1,0,1,9,2,167,17,0,2
10,0,1,1,4,7,127,7,1,2
12,0,1,0,7,4,151,14,1,2
13,1,1,1,9,4,98,11,1,2
3,0,0,0,7,2,171,9,1,2
7,0,0,1,9,1,111,13,0,1
1,0,1,0,3,3,59,18,0,2
4,0,0,0,4,3,189,11,0,2
13,1,0,1,8,4,86,15,0,2
4,0,1,1,6,3,144,19,0,2
14,1,1,0,5,6,64,1,0,2
5,1,1,1,4,2,56,4,1,2
7,0,1,1,8,1,182,14,0,2
7,1,0,1,1,6,105,14,1,2
13,1,0,0,9,2,180,3,1,2
11,1,1,0,1,5,183,17,1,2
13,0,0,1,8,7,8,3,0,1
4,1,1,1,4,4,21,16,1,2
13,1,1,1,9,3,140,14,0,2
7,1,0,0,5,5,88,13,1,2
11,0,1,0,3,3,175,15,1,2
3,1,0,1,9,6,17,14,0,1
6,0,0,1,9,1,114,19,1,2
12,0,0,1,4,1,167,6,1,2
2,0,0,1,4,1,144,10,1,2
10,0,1,1,8,3,142,15,1,2
13,0,0,1,2,5,105,6,0,2
14,0,1,0,9,1,14,10,1,2
9,1,1,1,6,5,62,7,1,2
5,0,1,0,9,3,166,17,0,2
6,1,1,1,8,6,12,18,1,2
12,1,0,1,7,5,80,17,1,2
12,0,0,0,1,6,31,9,1,2
12,1,1,0,3,3,136,10,1,2
12,1,1,0,2,3,39,10,0,2
4,1,0,0,5,4,147,7,1,2
14,1,1,1,5,3,81,16,0,2
14,0,0,0,5,3,76,18,1,2
11,1,1,1,4,2,190,6,1,2
10,0,0,0,5,1,75,1,1,1
7,1,1,1,3,4,171,1,0,2
12,1,1,1,1,7,37,12,1,2
9,0,0,1,5,4,187,2,1,2
7,1,1,1,9,4,70,4,0,1
14,1,1,1,9,7,47,17,0,2
1,1,0,1,4,2,17,4,0,1
1,0,1,0,3,6,143,11,0,2
9,1,0,1,1,3,182,4,1,2
11,0,0,0,2,1,38,1,1,1
14,1,1,0,8,5,195,7,1,2
9,0,1,1,1,7,186,18,1,2
4,0,1,0,8,6,88,9,0,1
13,1,1,1,7,7,61,3,1,2
9,1,1,0,8,3,140,8,1,2
3,0,1,1,6,2,108,19,1,2
7,0,1,0,9,7,80,4,1,1
6,1,0,1,3,3,133,18,0,2
8,0,1,1,10,3,76,11,1,2
11,1,0,1,4,2,187,14,1,2
9,1,1,1,6,4,89,18,1,2
14,1,1,0,8,4,13,16,0,2
5,1,0,1,5,1,94,3,0,1
1,0,1,0,3,1,53,15,1,2
3,1,1,0,6,4,131,4,1,2
10,0,0,0,4,6,38,5,1,1
12,1,1,1,9,5,71,17,0,2
8,0,1,0,3,3,24,7,1,2
11,1,1,0,4,5,76,16,1,2
6,0,0,0,7,3,159,14,1,2
8,0,1,1,7,4,186,16,0,2
9,1,1,1,4,1,190,7,1,2
4,1,1,0,6,6,165,9,1,2
1,1,1,1,3,1,119,4,0,2
14,1,0,1,6,5,52,11,0,2
1,0,0,0,2,1,194,2,1,1
10,1,1,0,8,4,155,12,0,2
4,0,1,1,2,6,130,12,1,2
12,0,0,0,7,5,149,4,0,1
14,1,0,1,9,6,95,18,0,2
7,0,1,1,1,3,165,7,1,2
2,0,0,1,8,1,199,1,1,1
3,0,1,1,7,6,71,13,1,2
1,0,0,1,6,2,61,6,0,0
5,1,0,1,6,1,184,6,1,2
1,1,0,0,6,3,5,12,1,1
8,1,0,0,9,6,31,8,1,1
1,1,1,1,2,5,98,19,1,2
11,0,0,1,1,3,137,5,1,2
1,0,0,1,6,2,130,18,0,1
2,1,1,0,10,6,186,5,1,2
2,1,0,1,8,7,75,10,1,1
12,1,0,0,3,7,176,1,0,2
6,0,1,1,10,4,58,10,1,1
7,1,0,1,1,1,30,5,1,2
5,1,1,0,9,5,92,12,1,2
1,1,1,0,1,4,68,7,1,2
1,0,1,1,3,6,189,9,1,2
3,0,1,1,8,7,51,12,0,1
14,0,0,1,3,7,88,1,0,1
2,0,1,0,4,7,126,11,0,2
5,0,0,0,8,6,168,15,1,2
12,0,0,0,1,7,30,2,0,1
10,0,0,0,6,3,83,7,1,2
6,0,0,0,1,6,126,12,1,2
7,1,0,0,1,5,149,18,1,2
4,1,0,1,8,4,131,3,0,1
7,0,0,1,4,5,12,7,0,1
11,0,0,0,1,2,44,11,0,2
8,1,0,1,10,7,126,18,1,2
11,0,0,1,7,2,169,12,0,2
1,0,1,0,5,1,113,6,1,2
6,0,1,1,5,1,176,5,0,2
8,1,1,0,1,2,19,1,0,2
5,1,0,0,10,6,80,12,1,2
4,1,1,1,6,5,181,11,1,2
2,1,1,0,9,2,163,4,0,1
6,1,1,0,9,1,128,18,0,2
6,0,0,0,8,2,142,4,0,1
11,1,0,0,5,6,16,17,1,2
1,0,0,0,1,2,151,2,1,1
9,0,0,0,9,5,57,2,0,0
12,1,1,0,1,4,71,12,0,2
11,1,1,0,8,6,108,6,1,2
6,0,1,1,5,1,22,10,0,1
13,0,1,1,3,5,173,16,1,2
3,0,0,1,7,2,71,14,1,1
4,1,0,0,7,2,7,7,1,1
12,1,0,0,9,4,58,19,1,2
11,1,1,1,7,1,110,17,1,2
4,1,0,1,3,1,186,9,1,2
3,1,0,1,1,3,12,13,0,2
10,0,1,0,8,1,166,5,1,2
3,1,1,1,3,4,155,5,1,2
3,0,0,1,8,7,188,10,0,1
4,0,0,0,8,3,15,10,1,1
7,0,0,1,5,3,118,7,0,1
4,1,0,0,1,2,1,15,1,2
9,1,0,0,10,2,144,7,0,1
1,1,0,0,7,1,29,15,0,1
8,0,1,1,10,3,102,3,1,1
7,0,1,1,5,2,12,19,1,2
2,0,1,0,8,4,95,10,1,2
8,0,0,1,9,2,93,15,1,2
1,0,1,1,7,6,81,3,0,1
11,0,0,1,7,6,12,6,0,1
12,1,0,1,1,2,170,12,0,2
9,1,1,0,4,3,93,15,1,2
9,1,0,1,2,7,148,6,0,2
2,1,0,0,2,7,111,13,1,2
7,0,1,0,2,3,54,19,1,2
14,0,1,1,4,5,80,3,0,2
10,1,1,0,1,7,167,8,1,2
3,0,0,1,4,6,115,8,0,1
7,1,1,1,2,4,142,15,1,2
12,1,1,0,5,3,179,4,0,2
10,1,0,0,3,1,107,19,1,2
9,0,1,0,8,6,52,3,0,1
4,1,1,0,4,4,127,13,0,2
12,1,1,1,1,4,179,8,1,2
1,1,0,1,1,3,157,16,1,2
2,0,0,1,10,4,160,13,0,1
1,0,0,0,3,3,56,3,1,1
14,1,0,0,9,7,51,16,1,2
12,0,1,0,7,2,136,9,1,2
5,0,0,1,2,6,181,14,0,2
5,0,0,0,9,5,110,13,0,1
11,0,1,1,10,2,0,7,1,1
7,0,1,0,2,6,43,15,1,2
9,0,1,1,3,3,74,7,0,2
9,0,0,1,10,6,97,6,1,1
3,0,0,0,2,7,8,2,0,0
3,0,0,0,3,3,31,9,1,1
3,0,1,1,6,2,14,17,1,2
4,1,1,1,9,1,139,5,1,2
8,1,0,0,9,1,184,12,0,2
6,0,1,0,7,6,135,1,0,1
8,1,1,1,3,1,71,10,0,2
1,1,1,0,4,3,154,11,0,2
8,0,0,1,6,4,189,16,1,2
4,0,1,1,5,3,11,14,1,2
11,0,1,0,2,4,64,8,0,2
1,1,0,0,6,2,106,17,1,2
8,1,0,0,3,5,41,18,1,2
4,0,1,0,8,4,189,12,0,2
6,0,1,0,2,1,114,17,1,2
8,0,0,1,1,3,138,14,1,2
4,1,0,1,9,2,102,16,0,2
14,1,1,0,3,1,170,14,1,2
3,1,1,0,1,2,94,9,1,2
14,1,1,0,7,5,16,4,1,2
9,0,1,1,10,7,159,11,0,2
3,0,0,0,5,3,84,6,0,1
9,0,1,0,5,6,167,15,1,2
13,0,1,1,1,3,150,5,1,2
2,1,0,1,9,5,55,11,1,1
14,1,1,0,7,3,133,18,0,2
2,0,0,0,8,6,85,13,0,1
2,0,1,0,9,4,177,11,0,1
6,1,1,1,6,2,101,14,1,2
3,0,0,0,5,6,164,18,1,2
13,1,0,0,6,1,191,19,1,2
9,0,1,0,2,5,53,15,1,2
4,0,1,1,4,4,199,9,1,2
1,0,1,1,3,1,176,8,0,2
4,0,0,0,7,1,114,1,1,1
1,0,1,0,9,5,138,4,1,1
14,0,0,1,5,4,87,14,1,2
5,0,0,1,6,7,48,2,0,0
4,1,1,1,10,1,148,16,1,2
8,1,0,1,2,1,114,3,0,2
8,1,1,1,3,4,193,8,0,2
7,1,1,1,3,3,62,6,0,2
3,1,1,1,9,1,103,16,0,2
1,0,1,1,7,2,82,16,0,1
1,0,1,1,8,4,102,7,1,1
12,1,0,0,10,1,155,13,1,2
11,0,0,0,9,5,16,13,0,1
3,1,1,0,6,6,5,5,0,1
6,1,1,1,4,2,146,18,0,2
7,0,0,0,1,6,183,15,1,2
6,0,0,1,8,6,27,18,1,2
14,0,0,1,7,1,193,2,0,1
14,1,0,0,2,2,37,10,1,2
6,0,1,1,8,2,118,13,1,2
6,1,1,0,5,3,36,18,0,2
13,1,0,0,7,6,114,15,0,2
3,1,1,0,4,2,67,12,1,2
6,0,0,1,5,3,176,15,1,2
8,0,1,0,8,4,42,13,1,2
11,1,0,1,1,3,163,18,0,2
11,0,1,0,1,5,57,15,0,2
2,0,0,0,4,7,12,11,0,1
5,0,0,0,3,1,51,19,1,2
14,1,1,1,10,4,57,3,1,2
1,1,0,1,2,7,31,7,0,1
12,0,1,1,3,7,104,14,1,2
1,1,1,0,1,4,187,14,0,2
5,0,0,0,1,5,82,13,1,2
12,0,1,1,6,3,185,12,0,2
13,0,1,1,5,1,98,9,1,2
3,0,1,1,8,3,103,1,1,1
4,1,1,1,2,2,183,19,0,2
3,1,1,1,4,3,27,11,0,2
1,1,0,1,8,4,128,19,0,2
1,0,1,0,6,1,169,18,0,2
12,0,1,1,1,3,47,12,0,2
12,0,1,0,4,1,39,1,1,2
14,1,1,0,1,1,96,19,0,2
13,0,1,1,2,2,190,17,0,2
14,1,0,1,5,2,199,5,0,2
5,1,1,0,8,4,113,3,0,1
6,1,0,1,8,5,131,2,0,1
3,1,0,1,3,7,165,3,1,2
12,1,0,0,4,1,154,8,0,2
9,1,0,0,10,5,136,16,0,2
5,0,1,0,6,7,110,6,0,1
8,0,0,1,10,7,143,13,1,2
13,1,0,0,3,4,183,16,1,2
1,1,1,1,2,7,75,16,0,2
14,0,1,0,6,7,30,3,0,1
5,1,1,0,5,1,118,13,1,2
3,1,0,0,10,1,141,14,1,2
12,0,1,1,5,6,24,8,1,2
1,1,1,1,10,5,33,12,0,1
4,1,0,0,5,3,66,8,0,1
13,1,1,0,10,2,151,9,1,2
5,0,1,0,5,3,117,1,0,1
7,0,1,1,3,5,72,6,1,2
1,0,1,0,7,2,25,19,1,2
3,1,0,1,6,3,147,11,1,2
2,1,1,0,4,6,191,11,0,2
9,0,1,0,2,2,103,13,1,2
10,1,0,0,9,1,9,11,1,2
6,1,1,0,1,3,66,18,0,2
10,1,0,0,4,2,151,15,1,2
3,1,1,0,1,6,4,1,0,1
8,1,0,1,6,7,194,7,1,2
14,0,0,0,4,2,185,13,0,2
8,1,0,1,5,2,26,12,1,2
2,0,0,0,5,6,112,18,1,2
6,1,1,0,9,7,14,19,1,2
7,0,0,1,1,3,162,15,1,2
2,1,1,0,2,4,104,8,1,2
11,0,0,1,6,3,180,19,0,2
10,1,0,1,5,7,43,10,0,2
2,0,0,0,7,5,25,7,1,1
10,1,1,1,3,6,174,18,1,2
1,0,0,1,3,3,161,16,1,2
8,1,1,0,10,2,94,6,0,2
1,0,1,1,2,6,177,9,0,2
9,0,1,0,3,1,83,13,1,2
11,1,1,0,10,7,139,8,0,2
6,1,1,0,1,3,131,16,1,2
7,0,1,0,5,6,86,13,1,2
13,1,1,1,5,3,175,13,1,2
10,0,1,0,7,6,182,17,0,2
7,0,1,0,4,2,111,5,1,2
10,0,0,1,3,1,128,17,1,2
3,1,0,0,1,1,88,9,1,2
2,0,0,0,8,5,65,2,0,0
9,0,0,1,3,6,157,18,0,2
8,1,0,1,2,3,130,9,0,2
13,1,1,1,4,1,121,6,1,2
12,1,1,1,3,7,148,11,0,2
10,1,1,1,1,1,83,6,1,2
7,0,1,1,3,4,176,6,0,2
9,0,1,1,2,4,115,13,1,2
4,0,1,0,8,1,189,11,0,2
13,0,1,1,6,6,115,14,1,2
4,1,0,1,9,5,37,2,0,0
1,0,0,1,8,1,142,8,0,1
8,0,0,0,10,2,109,3,0,1
14,1,0,0,3,3,179,3,1,2
14,0,1,1,5,5,45,1,0,1
12,0,1,1,7,2,24,19,0,2
3,0,1,1,5,5,20,18,0,2
7,0,0,0,8,2,120,17,0,2
12,0,1,0,5,3,121,13,1,2
2,0,1,1,1,3,132,3,0,1
2,1,1,0,5,4,69,1,1,2
7,1,0,1,4,6,112,4,1,2
6,0,1,0,6,2,106,13,1,2
3,0,0,0,3,4,111,17,1,2
9,1,0,1,5,2,107,11,0,2
10,0,0,1,2,4,46,2,1,1
14,0,0,1,6,3,195,16,1,2
13,0,1,1,6,5,90,2,1,2
6,1,0,0,5,7,17,19,1,2
10,0,0,0,6,4,148,19,0,2
10,1,1,0,7,2,103,16,0,2
6,0,1,1,5,2,150,19,1,2
1,1,0,0,1,7,191,9,1,2
4,1,1,1,8,6,194,1,1,2
10,0,0,0,4,3,39,10,0,1
6,1,0,1,9,2,137,19,0,2
6,0,0,1,10,1,88,1,0,0
11,1,0,0,6,5,179,2,0,2
12,0,1,1,1,4,199,16,0,2
5,0,0,1,3,6,60,12,1,2
1,1,1,0,3,7,191,8,0,2
8,0,1,1,10,5,4,18,0,1
5,0,1,1,4,3,121,2,1,2
12,1,1,1,6,6,180,13,0,2
12,0,0,0,7,4,54,6,0,1
12,0,1,0,10,4,36,6,0,1
5,1,0,1,4,7,55,9,1,2
7,1,1,0,6,1,186,16,0,2
4,0,1,1,1,7,101,11,1,2
6,0,0,1,8,3,92,7,1,1
13,1,0,1,7,6,196,10,0,2
4,1,0,1,9,6,72,10,0,1
14,0,1,1,3,2,58,18,0,2
3,1,1,0,2,1,1,9,0,2
7,0,0,1,1,1,192,15,1,2
8,0,0,0,3,6,103,4,0,1
4,0,0,0,5,6,187,8,1,2
13,0,0,1,2,5,50,9,1,2
2,0,1,1,3,5,29,13,1,2
12,1,0,0,4,5,10,9,1,2
10,1,0,0,7,1,107,4,1,2
14,1,0,0,3,2,75,17,0,2
3,1,0,1,9,4,166,16,1,2
1,0,1,0,8,5,89,15,1,2
8,0,0,1,4,2,122,3,0,1
3,0,1,1,1,7,199,5,0,2
12,0,0,1,1,3,190,5,1,2
10,1,0,0,1,5,191,15,1,2
7,0,1,1,1,7,188,18,0,2
10,0,0,1,8,4,124,15,1,2
5,1,1,1,3,3,181,2,0,2
10,1,1,1,6,3,121,13,0,2
5,1,0,1,3,4,93,4,1,2
14,1,1,0,5,5,102,10,0,2
7,0,1,1,7,1,185,13,1,2
9,0,1,1,2,4,183,10,1,2
12,1,1,0,6,4,161,9,1,2
5,0,1,1,6,4,30,8,0,1
1,0,1,0,3,3,51,3,1,1
10,0,1,1,6,2,88,16,0,2
10,1,1,0,10,7,75,14,1,2
1,0,0,0,10,1,128,9,1,1
2,1,0,1,5,5,182,11,0,2
14,0,1,1,2,5,21,3,1,2
6,0,0,1,9,7,39,5,1,1
9,0,1,0,8,2,100,10,0,2
8,1,1,0,3,4,110,13,0,2
13,0,0,0,8,1,128,4,0,1
5,1,1,1,9,5,64,13,1,2
1,1,1,0,3,7,190,12,0,2
13,1,1,0,3,6,181,5,0,2
7,0,1,1,2,7,169,10,1,2
5,0,0,0,8,5,148,9,0,1
6,0,1,0,10,4,78,7,1,1
13,0,1,1,1,6,21,2,1,2
7,1,1,0,8,2,165,7,0,2
3,1,0,1,7,1,98,8,1,2
12,1,1,1,7,2,7,7,0,2
10,0,0,1,3,2,189,14,0,2
3,1,0,1,1,7,174,19,0,2
5,0,1,1,4,1,16,5,0,1
6,1,1,0,9,1,16,18,1,2
9,0,0,0,5,5,89,12,1,2
13,0,1,1,1,5,140,17,0,2
14,1,0,1,5,1,144,13,0,2
12,1,0,0,8,6,165,2,1,2
5,1,1,1,8,3,80,13,0,2
1,1,1,1,5,5,77,7,1,2
14,0,0,1,9,3,172,10,0,2
14,1,0,0,1,7,5,6,1,2
14,1,0,0,4,6,162,3,1,2
4,1,0,1,3,1,109,3,1,2
5,0,1,1,2,6,13,18,0,2
12,0,1,0,8,5,71,11,0,2
10,1,1,0,7,2,188,5,0,2
10,0,1,1,9,7,142,19,0,2
5,1,1,1,2,1,53,19,0,2
7,0,0,0,4,4,26,15,1,2
4,0,1,0,6,7,12,16,1,2
1,0,1,0,3,3,158,9,1,2
14,0,1,1,8,6,162,4,1,2
14,1,1,0,3,1,59,15,1,2
5,1,1,1,2,7,5,12,1,2
7,1,0,0,3,6,196,3,1,2
10,0,0,0,6,1,57,14,0,1
10,1,0,0,2,5,48,17,1,2
6,1,1,0,8,7,150,19,0,2
5,1,0,1,1,5,161,6,1,2
4,0,0,1,7,7,25,4,1,1
2,0,1,0,2,5,46,7,0,1
4,0,1,1,10,6,4,19,1,2
10,1,1,0,6,4,19,17,0,2
10,1,0,0,2,7,133,16,1,2
3,1,0,0,2,7,197,15,0,2
10,0,1,0,10,5,58,8,1,2
1,0,1,1,8,1,191,19,0,2
8,1,0,0,2,7,145,8,0,2
5,0,0,0,7,5,131,18,1,2
13,0,1,1,3,2,16,16,1,2
4,0,1,0,8,5,13,19,0,1
8,0,0,0,7,6,12,10,1,1
7,1,1,0,8,4,134,17,0,2
2,0,0,1,7,2,127,13,1,2
1,0,0,0,6,6,43,13,0,1
12,0,0,1,7,6,118,7,1,2
11,0,0,0,5,6,142,10,0,2
4,1,1,0,7,1,18,2,1,1
8,1,1,1,1,6,62,4,0,2
12,0,0,0,1,1,162,6,0,2
2,0,0,0,9,6,80,18,1,2
3,0,0,1,5,3,162,6,1,1
12,0,0,1,5,2,146,17,0,2
1,0,0,1,3,3,147,14,0,2
1,0,1,1,5,6,99,11,0,1
13,1,1,1,3,2,162,19,0,2
3,0,1,0,9,2,159,2,1,1
11,1,1,1,9,7,121,3,0,2
5,1,0,0,6,4,175,11,0,2
12,0,0,0,1,3,43,6,0,1
3,1,0,0,7,4,103,14,1,2
1,1,0,1,7,2,151,19,0,2
1,1,0,1,10,1,60,16,1,2
8,1,1,0,10,2,124,7,1,2
10,1,0,1,4,4,144,8,1,2
11,1,1,1,8,3,70,19,1,2
12,0,1,1,6,6,106,16,1,2
13,1,1,1,4,7,49,7,1,2
13,1,1,0,4,7,64,9,1,2
12,1,0,0,2,7,98,13,0,2
14,0,1,1,2,6,31,1,0,2
2,1,1,0,4,7,163,8,1,2
13,0,1,1,5,3,140,4,0,2
3,1,0,1,8,6,197,3,0,1
2,0,0,0,6,7,57,3,1,1
3,0,0,0,4,6,127,13,0,1
7,1,1,0,7,4,141,8,1,2
1,1,1,1,8,3,164,7,0,2
10,0,0,0,2,5,111,1,1,2
8,1,1,1,7,1,67,16,1,2
13,0,0,0,2,7,39,6,0,1
10,0,0,0,2,1,186,7,0,2
10,0,1,1,8,6,143,12,1,2
10,0,1,1,2,1,189,9,1,2
14,0,1,1,9,3,131,11,1,2
2,1,1,1,1,3,172,10,0,2
3,0,0,1,9,2,89,1,0,0
9,0,0,1,1,7,27,18,0,2
7,1,0,1,10,2,95,4,0,1
4,0,0,1,10,1,193,5,1,1
10,1,0,0,2,5,30,9,1,2
5,1,1,1,6,2,2,17,1,2
2,1,0,1,6,2,135,3,1,1
13,0,0,0,1,3,23,16,0,2
11,0,0,1,7,5,14,5,1,1
13,0,1,0,8,6,170,16,1,2
8,1,1,0,2,1,158,3,0,2
4,0,1,1,8,2,44,15,0,1
9,1,1,0,9,5,193,3,1,2
5,0,0,1,6,7,7,14,0,1
13,1,0,0,5,5,70,16,1,2
9,0,1,0,9,1,107,17,0,2
4,0,1,0,9,5,114,18,0,2
10,0,0,1,1,5,102,18,1,2
5,1,0,1,3,5,124,14,0,2
9,1,1,0,9,7,56,18,1,2
8,0,1,0,2,2,29,15,0,2
3,0,1,1,4,1,145,15,0,2
1,1,1,1,4,7,113,6,0,2
3,1,0,0,2,5,196,15,0,2
4,1,0,0,3,5,116,18,0,2
2,0,0,1,3,2,166,4,1,1
1,1,1,1,1,1,59,8,0,2
7,0,1,1,6,3,97,15,1,2
8,1,0,1,8,7,170,3,0,1
7,0,0,1,3,2,125,15,1,2
14,1,0,0,5,1,172,13,0,2
5,1,0,1,1,7,150,9,1,2
12,1,1,0,10,5,196,2,1,2
1,1,0,1,7,1,93,8,0,1
7,1,0,0,10,1,133,17,0,2
13,0,0,1,1,6,183,13,0,2
7,1,0,1,9,1,121,1,1,1
9,1,0,0,8,3,107,2,1,2
